iter	Passed	Remaining
0	2	204
1	3	174
2	4	156
3	5	138
4	7	136
5	8	134
6	9	130
7	10	125
8	12	124
9	13	122
10	14	119
11	16	119
12	17	115
13	18	113
14	19	112
15	21	111
16	22	110
17	23	109
18	25	107
19	26	105
20	27	103
21	28	102
22	30	101
23	31	101
24	33	100
25	35	99
26	36	97
27	37	96
28	38	94
29	40	93
30	41	92
31	42	91
32	44	89
33	45	88
34	47	87
35	48	86
36	49	84
37	50	83
38	52	81
39	53	80
40	55	79
41	55	76
42	56	75
43	58	73
44	59	72
45	60	70
46	61	69
47	62	68
48	64	66
49	65	65
50	66	63
51	67	62
52	68	61
53	69	59
54	70	57
55	71	56
56	73	55
57	74	53
58	75	52
59	77	51
60	78	50
61	79	48
62	80	47
63	82	46
64	83	45
65	85	43
66	86	42
67	87	41
68	89	40
69	90	38
70	91	37
71	92	36
72	94	34
73	95	33
74	96	32
75	98	31
76	100	29
77	101	28
78	102	27
79	103	25
80	105	24
81	106	23
82	107	21
83	108	20
84	109	19
85	110	17
86	111	16
87	113	15
88	114	14
89	116	12
90	117	11
91	119	10
92	120	9
93	122	7
94	123	6
95	124	5
96	125	3
97	127	2
98	128	1
99	129	0
