iter	Passed	Remaining
0	1	1623
1	2	1239
2	3	1080
3	4	1082
4	5	1060
5	6	1028
6	6	990
7	7	956
8	8	929
9	9	908
10	9	895
11	10	882
12	11	867
13	12	867
14	13	894
15	14	922
16	15	924
17	16	916
18	17	907
19	18	919
20	19	920
21	20	913
22	21	906
23	22	901
24	23	903
25	24	900
26	24	893
27	25	885
28	26	877
29	26	869
30	29	907
31	30	908
32	31	908
33	31	903
34	32	897
35	33	900
36	34	898
37	35	897
38	36	893
39	37	889
40	37	886
41	38	881
42	39	876
43	40	870
44	40	865
45	41	860
46	43	872
47	44	884
48	45	885
49	46	882
50	47	879
51	49	894
52	50	894
53	50	891
54	51	887
55	52	884
56	53	881
57	54	883
58	55	881
59	56	885
60	58	894
61	59	894
62	60	893
63	60	891
64	61	891
65	63	896
66	64	894
67	65	892
68	65	889
69	66	886
70	67	884
71	68	887
72	69	883
73	70	880
74	71	880
75	73	888
76	74	893
77	76	907
78	77	907
79	79	913
80	80	911
81	81	913
82	81	905
83	82	903
84	85	917
85	86	916
86	87	922
87	89	922
88	90	922
89	90	919
90	91	916
91	92	917
92	94	919
93	95	920
94	96	921
95	97	919
96	98	915
97	99	912
98	100	910
99	102	919
100	103	924
101	105	924
102	106	923
103	107	922
104	108	925
105	109	923
106	110	920
107	110	916
108	112	916
109	112	913
110	113	910
111	114	910
112	115	909
113	117	916
114	119	917
115	120	917
116	121	914
117	122	916
118	123	914
119	124	912
120	125	909
121	126	907
122	126	904
123	127	902
124	128	900
125	129	897
126	131	901
127	132	904
128	133	904
129	135	904
130	136	904
131	137	902
132	137	899
133	139	899
134	140	897
135	140	894
136	141	891
137	142	890
138	143	887
139	143	883
140	145	883
141	146	885
142	147	883
143	148	883
144	149	881
145	150	879
146	151	876
147	151	874
148	152	873
149	153	871
150	154	869
151	155	867
152	156	865
153	157	862
154	157	860
155	158	857
156	159	854
157	161	858
158	162	858
159	163	858
160	163	854
161	164	851
162	165	850
163	166	849
164	167	847
165	168	845
166	168	842
167	169	840
168	170	838
169	171	835
170	171	832
171	172	830
172	173	827
173	173	825
174	175	825
175	176	827
176	177	826
177	178	824
178	179	822
179	180	822
180	181	820
181	182	819
182	183	817
183	183	815
184	184	813
185	185	810
186	185	808
187	186	805
188	187	803
189	187	801
190	188	798
191	189	799
192	191	802
193	193	802
194	194	800
195	194	798
196	195	796
197	196	796
198	197	795
199	198	794
200	199	792
201	199	789
202	200	787
203	201	785
204	202	783
205	202	781
206	203	779
207	204	778
208	206	781
209	207	780
210	208	779
211	209	777
212	210	776
213	211	776
214	212	775
215	213	774
216	214	772
217	214	771
218	215	769
219	216	767
220	217	767
221	218	765
222	219	764
223	221	765
224	222	765
225	223	764
226	224	763
227	225	762
228	226	762
229	227	761
230	228	759
231	229	758
232	230	757
233	230	756
234	231	755
235	233	754
236	234	753
237	235	754
238	236	753
239	237	752
240	238	750
241	239	749
242	240	748
243	241	748
244	242	747
245	243	745
246	244	744
247	244	742
248	245	741
249	246	739
250	247	738
251	248	736
252	250	740
253	252	742
254	253	741
255	254	740
256	255	738
257	256	737
258	257	735
259	257	733
260	258	732
261	259	730
262	260	729
263	261	728
264	262	726
265	262	725
266	264	727
267	266	727
268	267	726
269	268	724
270	268	723
271	269	721
272	270	721
273	271	720
274	272	719
275	273	718
276	274	716
277	275	715
278	276	714
279	277	713
280	278	713
281	280	713
282	281	712
283	282	711
284	282	709
285	283	708
286	285	708
287	286	708
288	287	707
289	288	706
290	289	704
291	290	703
292	291	702
293	292	701
294	293	701
295	295	702
296	296	701
297	297	700
298	298	699
299	299	698
300	300	698
301	301	697
302	302	696
303	303	694
304	304	693
305	305	692
306	305	690
307	306	689
308	309	691
309	310	691
310	311	691
311	313	690
312	314	689
313	315	689
314	317	689
315	318	688
316	318	687
317	319	686
318	320	684
319	321	682
320	322	681
321	323	680
322	324	680
323	325	679
324	326	678
325	327	676
326	328	676
327	329	675
328	330	673
329	331	672
330	331	670
331	332	669
332	333	668
333	334	667
334	335	666
335	336	665
336	338	666
337	340	666
338	341	665
339	341	663
340	342	662
341	343	661
342	345	661
343	346	660
344	347	658
345	347	657
346	348	655
347	349	654
348	349	652
349	350	651
350	353	652
351	354	653
352	356	652
353	357	651
354	358	651
355	359	649
356	359	648
357	360	647
358	361	645
359	362	644
360	363	642
361	364	642
362	365	640
363	365	639
364	368	641
365	369	640
366	371	639
367	372	640
368	374	639
369	375	638
370	375	637
371	376	635
372	377	634
373	378	633
374	378	631
375	379	629
376	380	628
377	381	627
378	382	627
379	383	626
380	384	625
381	385	623
382	386	622
383	387	621
384	388	620
385	389	619
386	390	617
387	390	616
388	391	615
389	392	613
390	393	612
391	393	610
392	394	609
393	395	608
394	397	608
395	398	608
396	399	606
397	400	605
398	401	604
399	402	603
400	403	602
401	404	601
402	404	599
403	405	598
404	406	597
405	407	596
406	408	595
407	409	593
408	409	592
409	410	591
410	412	591
411	414	592
412	415	591
413	417	590
414	418	589
415	419	588
416	420	587
417	421	586
418	422	585
419	422	584
420	423	582
421	424	581
422	425	579
423	426	578
424	428	580
425	430	579
426	431	578
427	431	577
428	433	576
429	434	575
430	434	574
431	435	572
432	436	571
433	437	570
434	438	569
435	439	567
436	439	566
437	441	565
438	443	566
439	444	565
440	445	564
441	446	563
442	447	562
443	448	561
444	449	560
445	449	558
446	450	557
447	451	556
448	452	555
449	453	553
450	454	553
451	455	551
452	457	552
453	458	551
454	459	550
455	460	549
456	461	548
457	463	547
458	464	546
459	464	545
460	465	544
461	466	543
462	467	541
463	468	540
464	469	539
465	469	538
466	470	537
467	472	537
468	473	536
469	474	535
470	476	534
471	477	534
472	479	533
473	479	532
474	480	531
475	481	530
476	482	529
477	483	527
478	484	526
479	485	526
480	487	525
481	488	525
482	489	524
483	490	523
484	491	522
485	493	521
486	494	520
487	495	519
488	495	518
489	496	516
490	497	515
491	498	514
492	498	512
493	499	511
494	500	510
495	502	510
496	503	509
497	504	508
498	505	507
499	505	505
500	507	504
501	507	503
502	508	502
503	509	501
504	510	500
505	511	499
506	512	498
507	512	496
